"O_AesSens","E_Assert","O_IntCur","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","O_CrtvImag","E_EnerLev","C_Prdctv","A_Trust","E_Scblty","count","satisfaction"
4,2,2.54042263203884,3.68884401534882,5,4,3.17330321033708,3,4,4,5,4.63360758213493,1,3.85887684579939
4.72977829469838,4,4,4.5,3.35053747826581,4.05305297435307,4,4,3.49306258866628,2.39985019930076,4,4,2,3.37256991118193
3.86051470825452,5,3.20716038015795,3.32642289188736,4.34640043807315,5,3.40752147882221,4.5,4.56368956972018,4,4,4,3,4.86732775811106
2,4,3.11927571626654,2,4,3.63309628567654,3.76286659288913,5,5,3,4,3.78175341511496,4,4.63680210057646
3.2666657937202,2,2,3.1212152835537,3.5,2.84338353316834,4.60555223807459,2,4.12730719704429,2.5,3.42106193593956,4,5,1.03117770515382
2,3,4,4.5,4,2.5906664150187,3,3.4045230990938,3.03652618554483,3.79700396626453,3.0561611513049,2,6,2.96737154200673
3,3.22068176984153,2,3,4.03758420395122,2.54566769149464,3,1.74718178147907,2.49616023465027,5,4,3,7,3.84385671466589
2.86492351322014,3.11810497539594,3,3.70560343369021,4.09439383122022,3,4,4,4,2,4,4,8,4.13257717061788
3.76504669958014,2.5,4,2.81775709317969,5,4,3.98380925531493,4,1.74067640775485,2,4,2.51237077305337,9,3.97528177127242
4,4,0.952192670887158,4,3,2.1794151380572,3.87417381056695,3,4,0.824929508964848,4,2.89892709799773,10,4.6428394569084
2,2.21299207188374,3,3,3.43886571786383,3.19685498592765,3,3.47071561252691,3,3,4.03159991903592,3,11,2.26756214536726
1.47533808195713,3,5,2.06186846980915,3,4,3,4,3,5,3.23323809069357,3.34757438639982,12,3.94685083627701
2.90851285869133,3,5,4,4,2.35763868219768,3.87786551963347,2,1.57158003709819,3.6706639540315,4,2,13,4.49703088682145
3.15273027047542,3.96334258802187,3.75915865401043,3,4,5,5.50832276643605,4,3,4.59822100239301,4,1,14,1.26994008943439
4.69208576684639,2,4.14834409884523,3,4,2,3.99535979774295,3,4,2.05467044144778,3,2.67507247844646,15,1.80515491683036
4.48318938945453,3,3.5,4,4.5,5.92103114467479,4.29676928853729,4.05060720636334,2,5.65650301446671,3.66012053355817,4.05572979609357,16,4.48800741042942
2,2.87825553143729,3,4,4,4,3,2.12657801516302,2.66060671723264,3.85248868667555,2.50760731921492,4,17,4.5582406045869
3.48460984074759,2.87186225722119,2.54681197494099,3.72055993397598,4.71657616460262,4.13120185534579,3.5,2.5,3,4,3.95654920049706,3.24869888379725,18,4.38260642997921
3,2.99989395994976,3,3,4.43318705516009,3.6193788072909,3.5,1.32419931816343,1.72801890459157,3.04642469876294,3.98032406140871,2,19,3.31566056236625
4.92534791442491,2.63223159533304,3.82306018532248,3.46457047248894,4,4,4.70140197315855,4,4,5,4,4.4653628709898,20,4.19946392532438
4.01465705269826,3,4,4,4.36175456186397,3.63221161615492,4,4,2.41774254270342,3,3,4,21,3.66072505805641
3,1.69144642604586,3.7685140732758,3,4,2,3.00068717554088,2,1.22054116169958,3.61989567558189,2.82522353334974,2,22,1.6433106707409
2.97601913628078,2.53483658925874,2,4,3,3.78540746372417,4.23240392250261,2,2,2,2.8056088447358,2,23,3.615936903283
4,1.48228060252331,4,4.57359075016559,4.12414405534654,4.30061230864383,3.5,2.89297061872283,4,4.5,3.75098051703572,2,24,3.36248989682645
4,2.92415569125382,4,3,5,5,4.36172851786495,4.43960783440651,4,3.20873906995059,4,3,25,1.41448884271085
2.33651975213312,2,3.5,3.5,5,2.58793743619067,3.98379646458152,2.66802008441226,2.50240089285956,2.80228171378183,4,2,26,2.20609010476619
2.51855402886705,5.20016037455129,4,3.72626505548928,4,5.27536987480409,4,4,5,5,4.75133039360899,4,27,1.47494331374764
3.5,4.84913990481073,3.99259158643643,4.9846367048333,4,4,4,4.57306521086089,3.5,4,3.48771874144977,3.28041010578432,28,3.69122913386673
4.51535800809586,3.78631620436383,3,3.52928832307903,4,3.38096123640139,3,4,3,3,3.7126173862575,4.56363829075245,29,3.55982257891446
4,4.496013487758,3.20720692495709,3,4,2.35145185550792,3.57792796425551,4,3,2,4,2,30,4.11091113183647
2.41384572674574,3.66865808596335,4,3.75256640465672,4,5,5.30961503873373,2,4,3,5,4,31,2.54368353821337
4,4,4,2.5,4,4.08382806987052,4,4.53027453913283,4.62784776130915,1.53387438161398,4.35600958085979,2,32,2.68391199130565
3,3.49254215278315,2.39095958872289,4,4,2.41587897903078,4.87043555228345,3,3,2,2,4,33,1.40612771455199
4,2.75044244595153,3,3.51175176782633,4.5,5,2.96111614824305,2.884541376593,3,2,4.00224426924027,2,34,4.71386726666242
3.11408399392278,3,4,3.42134330888172,4,3.22937819042909,3,4,3.15059575584454,4,2.93680806775253,3,35,1.622055654414
2.49654550637165,2,4,2,3,2.60186076235712,3,3,2,2,3.72837012485742,3.44475684320765,36,3.06724155135453
3.28103765349308,1.82476663206968,2.97383621273937,2.5,4.42423162099468,3.43264991846327,3,3,3,1.05012579881791,4,2,37,4.47165168821812
4.37171526633705,3,2.59412675942994,4,4.79277603360585,3.90277289573608,2.5,3,3.45908856133278,3,3.12891328252216,2,38,1.22264294419438
3,2.95291167577987,2,3,3.98285699188882,3,3.05455305591588,0.759509164442735,1,2.62925824950365,3.5,2,39,1.5080505553633
