"O_AesSens","E_Assert","N_Depr","N_EmoVol","O_IntCur","C_Org","C_Rspnbl","O_CrtvImag","E_EnerLev","C_Prdctv","N_Anxty","E_Scblty","count","satisfaction"
5.26787722236472,2,1.5,2,5,4,4,4,4,3.33206479765133,3,3.99814721925816,1,1.8884584819898
4.5248725090132,4,1,1,4.5,3.19983615161217,3,3.58674507318131,4,3,1.5,4.79935865089795,2,4.59133004397154
3.14163750969733,1.23601505092493,2,2.05711681217681,3,3,2.30738293372664,3,3,3,2.33333333333333,2,3,3.3383072456345
2,2,2.5,2.18997768446452,4,4.14189841941215,4,3.12098783474213,1.82543061041689,4.23158608691124,2.5,3,4,2.95846627652645
4.73849976145342,3.3161414600566,2.5,2,4,3,3.71022023735041,4,3,4,3,4,5,3.4611468622461
4,2.65176364808163,3,3,4.77453108961434,2,4.1911139334692,2,3,2,3,3,6,1.01146542467177
4,3,2,1,4,4.23243695225435,4.56610472028337,2.70635912468139,3,4,2,4.07341901019472,7,2.62846414837986
2.49993491618138,2,2,2,4,5,3.73852621808653,4.23126114817341,3,4,2,4.68433710016789,8,2.38948707748204
4,3.5,2,2,3.99968149870983,4,5.9259682647602,3.78839624495672,4.23773459601804,4,2,4.76156503798623,9,4.57434044778347
5.52247341419033,5.82145829177509,1.5,1,4,2.60838242918026,3,3.17800610543723,1.99489122190582,5,2,2,10,2.77914904616773
5,2.75167555338915,1,2,2.49389692781437,3,3,3.05232136608401,4,1.18611787017691,2,2.98698459407394,11,3.79620468523353
5.53495815082383,4,2,2,4,4,4.73129567099887,4.64551098453517,4,4.89718484526617,2,3.0607182896889,12,4.05787294823676
3,2.52648092936275,2,2.18574020618789,3.12803501018275,4.76870699788045,3.5,3,3,5.62288037229491,2.66666666666667,2,13,3.69085661321878
3,2.90853772165905,4,5,4,3,3,2.51568008603001,4,0.985693864546319,5,2,14,2.62212533410639
3,2.35167133459975,4,3.5,2.12091875670749,3.5,3.85889377081894,1.97595622346168,2,2.15390983924059,3,3,15,1.34776390530169
3.09134493194093,3.01721341275299,4,3,2,5,3.6656517739966,3,2,3,3.5,4,16,1.45410061720759
2.86314426159606,3,4,3.85320087777079,3.32194206615722,3,1,3,2,1.19197934274746,4.33333333333333,1.96732952930263,17,1.89909255038947
3.12311764205751,2,3,2,3,2,3.05876629255771,3,1.14896183578305,1,3,2,18,4.45725376252085
1.0610099329447,3.03370937133502,2.5,3,3,2,2.28784523739498,2,2.41583134202133,2,3,2.5,19,2.41321592126042
2.69085445522181,4,3,1,3.94671277514292,4,4.70398982247859,3.5,3.55384758416062,4.11213002494151,2,2,20,1.00013178773224
3.56423452156113,3.34547427095152,3,2.9400141291566,4,0.882621199928573,2,3,3,2,3,3,21,1.80570854991674
0.898714918772901,3.5,2,2,4,4,3.26789398048082,3,3.11637949820468,3,2,2.81650724698889,22,1.59057041164488
3.66517298248552,4,2,1,3,4,5.04764442482568,4,4.15268092015811,4,2,4.69932342607498,23,4.27641739137471
1,1.98548539000805,1,2.04623675286259,3,3.42863581055153,4.86177306784992,1.38812763676808,4,4,2.5,1,24,4.76367180235684
3.47362431102885,3,2,2,3,2.18158053244641,3.49500872861627,3,1.99448003203521,2,3,1.33495720648216,25,2.0198384411633
3,4,2,2,2.84716335830567,4.63320819314089,3,2.25170315556012,3.71683744512048,4,2,2,26,1.75625644624233
4.1783396662305,2.5,3,3,3,2.89444678753024,2,3,2.29800140396569,2,4,1.72237556014029,27,4.87604582030326
3,2.75409643461641,2,2,4,2,3.2466015455631,2.08984397243889,3,4,4.5,4,28,1.13430907949805
4.16690191471574,3.22070954296489,3.5,3,3.5,3,3,5.14505431812459,2.5,2.02059033584934,3,2.92765741678336,29,1.14333843998611
2.75675804895651,3.5,4,2,4,4.36350173311061,2.5,1.93209500725687,2.27801194380657,4.116327023139,3,0.562642562185963,30,2.43215610925108
4,1.80483778854941,4,4,4,3.64465905409255,3,2.97382031573672,1.47084626645102,2,3.5,3,31,1.35086061153561
2.77256818279745,3,4,4,2.6703393965164,3.65782765479797,4,2,3,3,4.5,1.37219597896265,32,2.90529974829406
4.66811520557122,4,1,2.59728043228825,5.02707544510894,4,3.03852818517911,3.5,4,3.84949710254911,2,3.21740268350618,33,4.93601020798087
2.9113105894733,3,1,2,4,4,3,4,3.06973414029498,4.87524833753359,2.5,3.1560585310082,34,3.70148241426796
2.37481477825314,2.86194534828944,2.66666666666667,3.44742097366359,4,4,4,5,4,2.97620891443653,3,2,35,2.64782997220755
5,1.76574463414762,2,2,4,3,2,2.22230038873927,4,1.31578289689391,3,3,36,4.85253115464002
4,2.17614049857454,2,2.01142429697979,3,4,3.29691408254036,2.8112107789808,4.15448350259104,4,3,2.5,37,1.18479589466006
3.39954514027994,2,2,2,4,2.96668938238042,3.5,4,4.65455240655809,2.4860437725915,3.5,3,38,4.70212097745389
4,3,4,4,3,4,2,3.25851187641964,3.32870129147369,1.860641628227,4,3,39,1.7948886519298
3,3,3.5,1.8614004845436,4,1.20939699733548,2,2.65208458700606,2,3,4,2.58243661138222,40,1.08077154867351
