"O_AesSens","N_Depr","N_EmoVol","O_IntCur","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","O_CrtvImag","C_Prdctv","A_Trust","N_Anxty","count","satisfaction"
5,1,3,3.79554846677244,4,4.57437473583706,4.63770808774876,3.17240314754498,3.60522220991808,3.08200054009405,5,1,1,1.67385195847601
2.81779504329332,1,4,2.90206892982329,4.53971744152443,5,5,5,4.5,5,2.68267603230291,1,2,3.43059525080025
3.02809895506791,1.5,2,5,6.49189887769319,5,5,3.01957444902335,4,3,3.57763230497734,1,3,2.65277631953359
2.29280381539766,1,4,5,3.02325813096447,4,4.5,4,2,2.97893141820403,2.58654529983678,1.5,4,3.22714354470372
1,1,1,1,5,5,3.227707286904,2,2.85757811669526,5,2.99343907788487,1,5,1.19015876576304
1,1,1.63630614711808,1,5.01414313416083,5,5,3.61222581292304,2.51625923630735,2.31718926235138,5,1.33333333333333,6,3.9962565721944
1,1,1.91825908362812,3.64342269833063,2.74523553328533,5,1,1,3,1,1.76707690209313,1.33333333333333,7,2.91421812959015
3,1,2.00763496085692,1,5.49202629497293,4.27594989763794,4.94402853019971,5,3.07651224048996,5,5,3,8,4.17150011286139
2.60663153940249,3,5,2,2.14581079569803,5,3,2.57745650070254,1,2.08312301245594,5,5,9,4.42193452641368
3.43958737426931,1.5,1,4,5,3.82027546479392,3.52600038072397,4.5,4,4.08677263754926,2.68483959965515,2,10,2.44116658531129
5,1,2.79058771485051,2.84168380871623,2.80106116471602,3.34760445549767,1,4.5,1,5,3.56210978705969,2.33333333333333,11,4.55859703850001
1,2.33333333333333,1.97317936097209,1,3.30989630907512,3.64465913719294,1,5,4.43490904344654,1,5,1,12,3.22484817169607
4,1,1,3.24344426095019,1,1,5,1,3.24462159797503,3.2760593008364,2.96162950413703,1,13,4.92236952204257
3,1,3.5,4,3.30881196179118,3.45385505360509,4.3771779669568,3,1.57213387215793,3,2.90356260824826,1,14,1.79039714112878
5,1,1,5,2,4.26008830726022,4,5,3.93197914270567,4.28167364858864,4,1,15,4.60682129766792
3.55486269911732,1,1,1,5,5,4.11009797591529,4.08779925129688,3.64352752657786,5,5,1,16,1.77598915621638
1.57765867361065,1,1,5,5,5,3.89274237539039,5.70864883169054,1,4.918076826851,2,1.5,17,4.38681734725833
3.31778044416501,1.5,-0.0707474370728725,5,3.36486874569997,4.5,2,3.59261391422647,3,1,3.02973876916344,3,18,1.69894238281995
3,1.5,3,2.88346491387698,3,2.89537323228321,2,2.92522107045188,3.32892878069099,1.93059564366915,4,1,19,1.74337971583009
2.11562624568047,1.5,5,3,2.67462629943813,5,5,3.95849148704226,3.79165663940867,4.41853861366214,3,4,20,4.18004881218076
1,1,3,1,3.0227494832606,5,5,3.75025049113031,1.7355627153182,4.02666415861194,2,3,21,4.75259573571384
1,3,3.27473552154435,1.72671506053724,4,1,1.50390045334806,5,1,1,3.27969007424005,3,22,3.32845968753099
2.77226455500135,1,2.76817378293736,2.5266839621577,5,2.5,2,3.42145290200317,3,3.34384221662448,2.56518366414746,3,23,3.45908086933196
3,1,4,1,4.9101134671741,4.73748770202184,5,5,3.08916780935619,5,2,4,24,2.09561795461923
3,5,5,1,2.73440173774877,3.58089215255078,3.27279086927516,1,0.697813687738157,4.5,1,3,25,2.85407455265522
4,1,1,4.07575712740517,5,4,5,5,4,3.37594153002669,3.9975873848976,1,26,1.58373670838773
2.63838068561375,4,3,3.88474048962837,4,3,2,3.26454476949353,2.5,2.30784513650611,2,4,27,2.18162656296045
3,3,1,3.37014197347007,1,1,1.69887936574639,2.30327134516161,3.45135854212344,1,2.23257669507561,1,28,1.78226755745709
0.313763792510633,2.66666666666667,4.02120650078231,2,2,5,3.69383594853493,2,2.09708526594801,4,3.36893717414481,3,29,1.39506570808589
4,4,1,2,4.13736328174198,4.49921940340189,3,4.98722275826898,4.51595099736673,4,2,3,30,3.40175375435501
1,4,4,1,3,4,2,2.90682793340185,3.52409673240319,2.85153703704135,2,2,31,3.30108028184623
1.5,2,2,2.8919582195025,2,2,4,3.53785478458364,3.74122485153096,2.74977334836084,1,3.5,32,3.38913022447377
2.19271338398746,2,2.54638272735601,1,3.46087070559381,4.03898125834204,3,2,2.42915270281858,2,2,2.66666666666667,33,1.32013670448214
2,4,1,3.12564156711345,3.94201456086328,4,1,3.74842700496016,2,1,3,3,34,1.15430627390742
