"E_Assert","N_Depr","N_EmoVol","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","E_EnerLev","C_Prdctv","A_Trust","N_Anxty","E_Scblty","count","satisfaction"
3,1,2,4.25250221386872,4,4,3.78046332395347,4.20200073514379,4.0080287529404,3,2,4,1,3.16224816534668
3,1,3,4,4,4,5,4.750583623148,3.50854223866377,3.09264795301055,1,5,2,3.50537972617894
3,1,2,2,4,3,3,3.82659714688841,1.67667143996514,3.9820811569263,2,4,3,4.38027886487544
4,1,1,4,4.29665758464922,4,3.21498041988919,3.08989821459627,3.27025480700701,3.5,1,5,4,3.85720320791006
2.5,1,1.07356854439549,3,3,3.73390891338555,5,2.98909390368809,3,4.53309338527557,1.5,3.47739262409537,5,2.22593897767365
5,1,1.02692375059252,4,4.90077988936744,4,3.50822560301951,3.40492969759283,4.94414597232608,4,2,2,6,2.01305395830423
2.65134399563253,1,1,2.74968213377312,5,4,5,4,4,4.42817274347616,2,3.28338093220119,7,4.23518314678222
3,1,1,2.89699875730482,4,5,3.52969736146326,4.41909092996084,2.8488583711437,3,1.5,3,8,2.53858506120741
2.16598596425949,1,2,5,5,5,3,4,1.72054734249494,4.17492396423096,2,1.52674302841336,9,2.1516934921965
2.90615759386154,2.5,2,3.53815235280837,3,4,5.57400366192767,5,3,5,2,4,10,2.18909689225256
4.81793101093107,1,1,2,4,4.68038417196921,4.5661377321471,5,5,5,1,4,11,2.13781876582652
3,1.5,3,5,5,3,3,4.18792314924561,3.38318708791263,2.55697645597548,3,0.161131599349304,12,4.32068515196443
3,1.66666666666667,2.43185461525006,3.84096594473378,5,4,5.49788253600061,3,3.99753726583488,5,2,4.10565925837024,13,1.48651241883636
3,2,1,5.11070570416614,4,3,5.1594437178612,3.26875333447789,3,5,1,3,14,1.80698423180729
4,1,1,5,5,4.55935327924455,4.08069537360663,4,5,5,1,4.3592190844732,15,4.60819908883423
3.90660879110089,1.5,1,4,4.46480784661334,3.92336542460704,5,5,3,4,1,4,16,3.1764458399266
3,1,3,5,4.88665267377352,3,4.5,3.88593657356813,2.7574755670633,4.8547592479755,1,3.42516252132201,17,1.24139791633934
3,2,2,3,2.97398634904152,4,4,3,2.69002931070052,3,2,1.54706218644922,18,1.9927345206961
5,1,1.43831495778599,4.5,4.55547479241705,4.08573859755575,5,4.50498668668727,4.0897079934862,5,1,5,19,3.06633666623384
4,1,2,4,4,4.23744373244018,4,4,4,5.32822245447059,2,4.34561408827405,20,2.99883578531444
3,2.5,2,4,4,4,3.37448008902537,4,3.08892011405189,3,2,2.73441118904637,21,3.22078399732709
2.5,1.5,2,4,3,4,4,4.11519562743742,4.42469802325981,3.10296283499378,2,3.06530849795251,22,3.18077641818672
3,1,1.5,3,5,3.74303844876887,5,3.35150212821819,3.73464465835153,4.33810119078939,1,2,23,4.45438484940678
5.35103663266169,1,3.5,4.85717798388245,5,5,5.38911240524091,5,4,3.4108642477691,1,4,24,3.98886808659881
3,1.5,2,3.84677678664932,4.48880256153282,4.5,3,5.21766585495158,4.52460538170365,5,1,3,25,3.86383797414601
3,1.5,2,3.80939002772923,4,3,4.01926630688767,5,2,4.47954371863446,2,4.94887041814624,26,2.29033861681819
1.67241056755204,1.5,1,2.94131495075363,4.58892704889397,3.40344649591927,4,3,2.5,3.50975853101676,1,2,27,4.22610018961132
4,1,1,4,5.50697263645067,3.89162395968276,3.5,4,5,5.68680341720438,1,5.21479999342148,28,1.94032159727067
4,1,1,4,4,4,4,4.09667903543982,3.77475325658721,4.18780392623806,1.5,4,29,3.67098115570843
3.32648346361887,1.5,2,4,5,3,4.47984941023476,4,6.29180426492512,5,2,5,30,3.3377350885421
4,2.5,2,3.62410595517754,5,4.5,4.53841130714336,3.26162415182656,3.05667253868223,4,2,3.83210560383539,31,4.59485748130828
3.5,1,2,4,5.2308438564639,4,4.33117874790389,6.37189640307153,5.00202461499625,4,2,5.21768045439773,32,4.91684044897556
2.7238058378949,1,2,4,3.88671743853931,5,4,4,3.90183103531424,5,2,4,33,1.59605415072292
2,2,2,4,4.59477981255659,3.26866080427623,4,3.25118092417273,2.14070137161874,4.68523477979327,3,4,34,2.64090545568615
4.9499795468474,1,2,4,4,5,5,3.5,5.47178722118568,3.19024921107032,2,2.80240052383471,35,1.35231186170131
4,1.5,1.57666773326066,4.68919081972296,5,4,6.57238348701312,5,4,3,1.5,4.68337341499084,36,3.89486055169255
4,2,2,4,5.86493544081155,4,5.26477455074418,4,4.09836503398209,4,2,5.4886682097641,37,1.66833274904639
3,1,1.76744197196081,4.0419382601341,3.81149596018858,4.5,4.5,4.40484759050173,5.57528602631377,5.92003642715125,1.5,4,38,3.90218843054026
2.71658481321233,1,2,4,4.95673701712769,4.16105588895276,4,4,4,3,3.5,3,39,1.26458282768726
3,1.5,2.36633729993199,4,4,4,4,4.44567137801078,3.66892544525657,2.7714762640047,2,2.9422571493419,40,1.61962856072932
3.18654092745436,1.5,2.95128647995251,4,4.99827615300968,5,3.84163683150884,2.66607040153556,4.70989029138029,4,2,5,41,4.81085196230561
3,2,1,3.41577881586808,5,4,3,5,2,3.90958338655213,1.5,2.95581293076637,42,4.20132935140282
4,2,2,4,3.7420404700906,3,3,3.58654995692733,3.92139973289848,3,2,2,43,1.47057077102363
2.46928342787266,2,2.18318581955833,2.61681186374377,2.98727193976008,4,5,3.5,2,4,1,3.10529748909695,44,2.36015497241169
5,1,2.09187547798795,4,4,5,4.42852476969781,3.39302794390306,2.40472830379794,5.19334541210032,1.33333333333333,4,45,3.63434294052422
4.32809587407622,1.5,2.22681348299233,5,5,4.09021776127455,4.41039112135886,4.5,4,4,1.5,4.11185114467189,46,4.97088420391083
2.75010942413831,2,2,5,5,4,2.99572912206271,5,2.58428405601252,3.55854069820234,2,4,47,1.39621779229492
4,2,2,4,4.33264495071109,4,4.63007209470596,3.55730281362509,4.04440026336691,3.5,2,4,48,3.49320650752634
3.5,1,1.85076122468547,2.99175380712278,5.14589995762703,4,4.17634165639064,2.4088224793729,2,3,2,5.15073984386635,49,2.31564220134169
3,2,2,3.14072213792551,4,4,4,4.115402138695,4,2.77847035767925,2,4.17681965212539,50,3.22051056660712
2.84740531003962,2,2,4,4,4,4,3,2.89678297995098,3.88492573026808,2,3.34857359016575,51,1.07825285755098
5.01461528446385,2,2,5.52314687133527,5.46204475590369,4,3.35408293533355,4,2.23951671861685,3,2,4,52,4.19508349429816
3,1,2,3,5.07385454840939,4,3,5,2.6150407827896,5,1,5.22638359811897,53,3.94189108535647
4,1,1.5,4.84665006949787,4,4.06513635453977,3,3.08840619705512,4.0000302482901,3.24447722422488,2,4,54,2.41849843040109
2.94437229876683,2,0.951651988234679,3.11755799293856,4,4,4,4,3,3.0185920627103,2,4,55,4.35590442363173
