"O_AesSens","E_Assert","N_Depr","N_EmoVol","O_IntCur","A_Rspct","A_Cmpn","O_CrtvImag","E_EnerLev","A_Trust","N_Anxty","E_Scblty","count","satisfaction"
6.09551168810656,3.31672531756498,2,1.02601786061936,4,5,4.93140375059674,4,4,4,2,4,1,1.98545895144343
2.98829617305089,3,1,1.51564818539178,4.58772905438793,5,2.95367329560205,3,4.44808148757877,5,2,2,2,1.01274896413088
3.15319036408199,3,2,1.30191733243366,3,4.5,3.33899732930882,4.62734023667028,3.54720737616539,5.2498064327189,2,3,3,3.21097182203084
2.9960884389629,2.9042690316057,2,2.1229493845528,3,5,4.05137899068505,3.12497087350145,3,5,1.5,3,4,2.82439814787358
3,1.89708291617926,3.33333333333333,3.11859391606974,3,2.90796700977033,5,3.18098533872922,3,3,1,4.63772978004003,5,4.53636921849102
2.98853596964947,4.28296429205202,1,0.990524971633053,4,4,4,3.29040105104207,3,2.90166986920291,2.5,4,6,3.57367013115436
3.97642639444449,2.92293487846469,3,2,4,4,3.21516474907103,3,2.56181549366058,1,3,4,7,3.15347897913307
2.57824561807467,3.74562928495976,1.33333333333333,-0.0186594685783099,3,4.65909278066762,4,4,3,2.8065109933488,1,3,8,3.22870959993452
2,3,1,1.03453993478558,4,5,4.95961328452603,3.40555242097188,4.61846316928703,5,2,4.20204027817894,9,2.36346449889243
1,3.33318856275766,1,1.4930959456974,4,4.91068095225137,3,3.49007841710111,3,5,1,3,10,2.80268153455108
2.99810644220621,4.16639377424435,1.5,0.996819588161894,4.08657161764577,4.13123015423099,4,3.30497055076483,3,5,1,4,11,2.02760129142553
1.80288488210217,5,1.33333333333333,-0.624144185421271,4,4.18115425036984,5,2.02142310440959,1.30110789907798,3,2,3,12,1.75026408396661
3,3.42694272617842,1.5,2.32366607598867,2.33554271669381,4,4,3,4,4.93618025492642,3.5,3,13,3.58452954515815
3,4.18172563539059,1,1.03174914753408,4.90833048384902,3.78270370783378,4,3,3,4.4241012434324,2,4.30118082776327,14,1.27486867643893
3.00136728335475,3,1.5,0.992686807477541,4,5,4.17219958763413,3,3.3461454984973,4,3,4,15,3.43011005222797
3,2.5,1.5,1.47839374901818,4.42623434810495,4,5,3,4.98530026416329,4.33704871988647,3.5,3.70960357614354,16,2.31163864210248
2.43625979105634,4,1,1.01077540245103,4,5.99249707116325,5.91630794518639,4,3.39096162064841,4.5,1,5,17,1.8197028953582
2,3.03039979095494,2,2,3,4.20282417138216,4,3.44358286380079,3,4,3,3,18,1.0676667522639
4.58692432293872,2.53067384543735,1.5,0.998781601533005,3.5,4,4.0836709698728,2.82966667568207,4,4,1,5,19,1.45731469336897
3.86740275467504,3,1,2,4.33787195939217,6.06479784817124,5,3,3.64689365982429,3.62048963927818,1,3,20,3.53075578156859
3,5,1.5,0.972806348951344,3.59884230625081,4,5,3.89312572694085,4,2.52456285578771,1,4.70057048460723,21,2.8920734487474
3,3,1.5,0.904332949255716,4.24414363074963,3.95503762302354,5,4,3.99328488873447,5,1.5,5,22,1.69629031419754
2.5,5.79330284680421,1,2.96720066562064,4.51440361324135,4.5,4.0073626858957,2.16521470377223,3,2.38179111699798,1.5,5,23,1.45959976874292
3.01016239434991,1.79028388468626,1,2,3,3,3,3.87306458037879,3,3.4000689969262,1,3,24,4.87026902008802
4.05000934156126,4,1,1.00043025562529,3,5,5,4,4,3.36038418654609,1.5,3.15747591754298,25,2.77075891569257
2,3.5,1,1.50330015090323,2.35923388200322,5,5.04739047571194,4,3.45731243989168,4,1.33333333333333,4.5845821849828,26,4.27632234152406
