"O_AesSens","E_Assert","N_Depr","N_EmoVol","O_IntCur","C_Org","C_Rspnbl","O_CrtvImag","E_EnerLev","C_Prdctv","N_Anxty","E_Scblty","count","satisfaction"
4,2.92424640654389,2.5,2,2,2.6329556869219,3,3.10318856768618,2.5,2,4,3.35656927930415,1,3.92853258922696
2,4.38407772789774,1.5,3,2.85260332599073,3.67391224657945,4.11300065880034,3,3,4,2,2,2,4.66091960854828
2.87088621154811,4,2,1.31957790351441,4,4,3,2,2.31793754906996,4.27228546548281,2.5,1,3,1.34892355371267
3,2.01849438996183,2,2,4.17358031364468,4,4,3,2,3.67626065348078,2,3.56757426440109,4,2.28678858559579
3,3.5,1.9959736509618,2.60687164881256,3,4,5,3.52183444933514,2.76804839254215,6.03291515724903,2,2.46786751594641,5,3.79616943281144
2.65290269131683,3.85330211677617,2.01429613625403,1.80094137629129,3,4,3,3,2,4.40878964110579,2.5,4,6,4.14575607888401
5,2.75922338911979,2,2,2.19741943023604,4.91770759648459,3.12320135632439,3,4,3,2,3,7,3.86200885847211
3.5,4,2.5,2,3.6744072143982,5,4.1318761549967,4.59491776853253,4,4,3,4.04005129320625,8,1.31182275805622
2,3,2,2,4,3.73373702697782,4.64591927007836,3.9115694126242,3.26218013300577,2.5,2,3,9,1.34740033652633
5,3,2,2,4.11972785704735,3.23677757709938,4,4,3.04205677703659,4,2,5,10,4.73581957258284
4,3.5,2.008443892825,2,1.98771535603312,3.18900366284429,2.5,3.2748807394711,4.02593730078577,2.55278435220626,2,6.17694450628186,11,3.78519851434976
3.15810541636529,3,2,3.22597027001929,2,3,4,4,1.21315731965119,2.51825539227224,2.66666666666667,5,12,2.96272766217589
2.88850434699853,1.25134529626849,2,2,3,3.66083300932215,2,2.81241305081328,2.47352089341792,2,2.5,1.5,13,1.55632891878486
2.75091718218703,3.20025800383277,2,2,3.5,4,4,4.65604389976194,3,5.37945314394112,2,2,14,1.34376057423651
4,2,2,2,4.14700934704164,6.13647775118568,3,4,3,2,2.5,2.98656362758535,15,2.49084510002285
3.16687359307913,2,2.5,2,2,5.54897531685334,3,3,2.2133187471523,4,2,3,16,3.47626393102109
4,2,2.5,3.47458828653473,2.37268234080414,3,4.80293487890052,3,3.15972525449464,3,3,3,17,3.87675036210567
4,3.67083096758923,2.5,2,3,4,4.47337875718067,3.77229395594909,3,2.09166881150991,2,4,18,2.0205199168995
1.59229625769833,3.73574039615994,2,1.85648162097839,4,4,2.8944241971519,2.53558144898308,3.5,2.42757540607491,2,2.86035824307429,19,3.88281991425902
4,1.95705367070424,2.01257996467254,3,3,3,3.85112251883375,3.30900809787166,2,2.82777343831481,3,2,20,3.35200539324433
2,3,2,2,2,4,3.97304875034459,2.39615743459517,3.52662074947391,3,2.5,4,21,4.92386757954955
