"E_Assert","N_Depr","N_EmoVol","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","E_EnerLev","C_Prdctv","A_Trust","N_Anxty","E_Scblty","count","satisfaction"
3,3,2,3,4.57976313715178,2.559674553918,4,2.90830872919148,3,5,4,3,1,3.64349253475666
2,3.66666666666667,2.4796223422243,3.7410275699233,5,5,3.57739541143961,2.16268040260057,2,2,4,3,2,4.51201605610549
3,3.5,4,3.70462601244656,4.10802030386796,3.51479720528604,3.98871603667156,2.99581062772243,2.76516425529856,2,3,3.42442649331856,3,1.38580025359988
2.49730897977233,3,3.5,3.82469225072543,5,2.74383767531955,3.59516635959779,2.22063052359207,3,4,4,2,4,1.61208932287991
3,3,2,4.23988467288303,4,3.36838981456373,4,4,2.5,4.26550550182583,4,1.69650990334762,5,3.81885974109173
2,4,2.74942605960821,2,3.54271475016627,3,4,2,0.61879472747048,4,5,3.32173732304397,6,1.8272216655314
2.76873455892839,2,4,2,5,3.98514939881051,3.98331649736837,2.91106699649613,1.68444947400852,3.47795515144474,4,4,7,4.29194649495184
2.74006459075471,2,2,2,5,3.71232270077717,4.52973264556702,4,2.67083879846576,3.46779992165577,3,3,8,2.53158772550523
3,2,2,2.7134414733504,4,4,3.7857202042012,2.56299480825257,3,5,2,3,9,3.74739492218941
3,3,2.78255746028978,3.5,5,4.20115591166729,5.77844206926016,4.73056515916959,2.61384736977494,4,3,3,10,4.97214316390455
3,3,3,3,4,3.06043263079377,4,3,4,3.52285971538367,3,3.63981216945895,11,3.67511912435293
4,3,3.50560143046588,2,4.00011914010811,3.53233087574224,4,4,4,4.00228547587145,4,2.97131928882531,12,1.74213964492083
2,4,4,2,3,3.29105148880777,3,3,3,4.01048645166446,4,3.08069024846916,13,3.97431496810168
3.11619320047712,2.5,2,3.92136685411581,5,4,4,3.14892104824024,4,3.40814824411094,2,3.5,14,3.62799293920398
2.72993343779832,2.5,2,2.86739454922051,4,2.97059358892757,4.91249450387102,3,3,2.4542746585481,3,2.60356631952324,15,4.24210922513157
3,2.5,2.09109516636508,3.57441382068436,4.29150459267481,4,5,4,4,2.73674378381726,2,4.51321327063902,16,1.48634220845997
3,4,1.56330787270748,3,4,4.05297966413537,4,2,3,3.54784374297341,3.5,2.22096646870402,17,2.26884108129889
2.5,3,4,3.9348541882004,4,3.5,4,2.52319923978019,2.41893532063014,3.24802521142273,4,2.34774547795066,18,3.20569096598774
3.41112421787836,2,2,3.68711272461027,5.35153120556631,3.00069657766881,4.09523952454028,3,3.64243558067764,3.99528708468782,2,4,19,4.92487383261323
2.91398216881695,2,0.24759384488947,2,4,3.87169288664943,4.31061284102597,4,2,4,2.5,4,20,4.23069115821272
2,4,4,3.9392010334799,4,3.50849012725436,4.01952105876424,3,2.94633672250985,2.68228527959021,4,1.8342674820421,21,1.3258411437273
2,3,3.5,3,4,4.28901340684394,4.14419874933989,2.74272631217217,2.51890988955991,4,4,3,22,2.86687066964805
2,4,3.31610431430781,2,4.98363871871304,2.37213198199885,4,2.02856422243818,3,4,4,2,23,3.36032752227038
2.89661770329055,3,3.5,2,4,3.78394396274529,4,3.03601670151682,2,3.40677747332737,4,4,24,3.16020716633648
3,3,3.42137898485966,2,4,4,4,2.37261582765707,3.87870615797233,3.88617141960332,3.5,3,25,1.12087550200522
