"O_AesSens","N_Depr","N_EmoVol","O_IntCur","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","O_CrtvImag","C_Prdctv","A_Trust","N_Anxty","count","satisfaction"
3.01969676399202,2,2,1,3.37171091157089,5.12526904797216,3.73968900006567,3,2,1,3.11772879640683,4,1,3.88896101247519
4,4,2.50256134181954,1.6062116200054,2.5,5,3.57572419266172,5.05331669240119,3,3.08422017339034,4,4,2,3.28385220840573
3,2,2.5,2,3,2.42616758932298,3,3,2.84719223743274,2.25703777294935,4,4,3,2.25675160065293
2.7318590056019,3,2.08417742840213,3,4,2.85077528099066,2,3,4,0.54203366652837,3.35563462689589,3,4,4.25654541701078
1.75194750677333,2,3.60439822914104,2,2,4.55291038493781,2.22584102898295,3,2,4,4.40335601352745,4,5,3.05520175583661
2,2.5,2.49329602414007,2,2,4.05665950507041,2.1195985810372,4,2.64493698413085,2.16295355761548,2,4.5,6,1.86129935830832
3,2,2.52384676161439,2,4,3.89723861246395,4,2,1.98300415359845,3.38683664360859,2,4,7,2.22672302741557
4,2,2,4,4.12733299508843,3.64842581843301,3,3.5,4.20833578953387,2.83166028759877,1.92289817719704,2.5,8,3.05506555642933
2.02113857008597,2,2,3,2,4,4,2,2,4.29298557075685,3.54872270026009,2,9,3.12394174840301
2.5,3,2,3.53515541707505,2.93755408707494,4,3.5,2.42058923346601,2.40936171419868,4.02549434096218,3.53942618688648,4,10,1.02777513489127
2.62794703380718,3,3.5,4,3.66922486062841,4,2,3.40098257798823,3,1,2,4,11,1.65632301475853
2,2,2,3.24981575028881,4.36030684102969,4,3.83515335637826,2.83224540053416,2,3,2,4,12,1.14489537477493
4,1,1.7838741854077,3.95346138232809,1,4.5,1,4.27428177841281,4,1.16673365183563,3.42314539275817,1.5,13,4.25474510062486
3.84942768577873,2,2.67617662693454,3.80114150660687,4.00619852403342,4.83354562180739,2,3.20973183689975,2.5,4.10711298015851,3,4,14,2.60811619646847
2.17222884138027,2.5,3.33475716386168,4,1.55700547687982,2,2,1,2,2,3.0419232191969,2.5,15,4.40550666116178
2.73194807832709,4,4,2.5,1,2,1.60093742849761,2,2.03747300268721,2,2.7818920536405,3.5,16,3.48654683120549
3,4,4,3.06982092072794,2,3.21122677393045,2,2.10273968106502,2,1.91747409898271,3,4,17,4.57607219275087
2,2.5,4.1858332675935,4,3.00462525202295,4,5,3,3.10173769310379,2,2.31709331296489,4,18,4.45093742385507
3,3,2.68610665561767,4,2,3,4,3,1.82879153264108,3.92019649053526,1.69210356416405,4,19,2.0101429624483
3,4,4,3.49024841480731,1,3,2.52788965397927,2.0845931056416,2.22193391586443,2,3,4,20,2.12476081214845
2,2,3,3.37805584176609,4,4.35696803675278,2,3,4,1.00403403371936,2.42298950606333,4,21,2.24450494255871
1.33233342820823,2.5,2.83119282010379,2,4.74954945122251,4.53725497492119,3,4,2,2,4,4,22,3.96044528763741
2.71821975653042,4,4,1.90559044071826,2,3,2,3.10884074676506,2,1.51086883650132,2.46135130856363,5,23,2.95403343066573
3.44717960155159,2,2.27353913155017,4,2,2,2.18366697102821,3.3829296866302,4,4.4046708776436,2.42749792790643,2,24,1.18818068224937
2.5,2.5,2,0.690290391409783,4.87018759458879,2.94079860167794,2,2.5,2.63496044113045,1,3.7189797436036,2,25,2.59327999781817
4,2,2,4,3.33720203748974,4,2,4.84957360448051,3.70812828879803,1.96266621819548,4,2,26,1.6648956509307
4.28343175393345,3,3,2,2.43255850839664,3.77823883133364,2,2,2,3.31448036172579,4,4,27,3.92687651049346
3,2,3.5,3,3.93326710162591,4.10372869533983,2,4,2.53840389442174,4.03501428484154,4,4,28,4.25510160624981
3.27434152799047,3,3,3.17492735985262,4,2.92187591564351,3,2.94921237430332,3,3.68168833929627,3,4,29,2.59138937946409
4,2.33333333333333,2.65086625764536,4,2,3,3.7594055314635,2,2.76509925545671,2,3.64246552459091,4,30,3.3105601221323
0.222482671302056,4,3,2,2.49464032655658,3.56961576938048,2,4,4.67627719912715,1,2,4,31,1.98759019188583
2,3,3,2.47958012826071,2.08759227423687,4.98898612470466,4,2.5,2,4,2.54403319358302,5,32,2.82988350093365
2,3,2.4668186885193,2,1.5,4,2.43175566639533,3,2.60860244032415,2.89849513674024,3.44983616090309,4,33,1.82577922940254
2.61355071048966,2,2.60704352447304,4.46322349642733,2,4.74389895145691,3.1233968848658,3.5,3,3,4.13276286029659,4,34,3.16871941369027
3.00365234414041,3,4,3,2,2,2.09930210165593,2.88019985917447,4,2,3,3.5,35,4.88103754725307
2,2,1.9387737443964,4,2,4,2.15100902959908,3,4.2280013406041,3.59738948559728,3.57145767565918,2,36,1.73830772377551
2,2,4,4,3,2.31875085091232,3.59073172787413,3.33014593769321,3.02443568847184,4.73481356314029,3,3,37,2.01408520340919
0.920577327675518,4,2.68102564884453,2,2,4,2,2,2,3.55406331798303,2.75049136880978,4,38,1.98573020473123
2,2.5,2.2513621109341,2.25513652988364,2,4.38550386715654,2,2,3,3.48235356599134,4,4,39,2.86364622507244
4,2.5,4,3.17607992500503,2,2,3.97358199372416,3.47698461788474,4,2.39535059774961,2,4,40,2.76162223611027
2,3.66666666666667,2.28908022230797,2.65117860299168,4.55433922893001,4.49831872086113,3.31956741730242,2,2,2,2,4,41,4.33188569266349
3,2.5,4,2.55445149770864,3.66721067957011,3,2,2,4,3.9783452935863,4.42923921136826,4,42,1.60637489426881
