"O_AesSens","E_Assert","N_Depr","N_EmoVol","O_IntCur","A_Rspct","A_Cmpn","O_CrtvImag","E_EnerLev","A_Trust","N_Anxty","E_Scblty","count","satisfaction"
3,3.17780005527519,2,2,2.59226774894932,5,4.90432054942636,4,2,4,4,5,1,3.57331374380738
3,4,2.5,3,3.79669767402728,4,5,2.82759349615943,2.39985965919068,2.89018777223567,4,3,2,3.30235901568085
4,4,3,2.39252987079004,3,5.00989070639817,3.50755599191674,4.17292658755249,3.18250336737244,4,5,2.75707461959357,3,1.09643740672618
3,5,2.5,3.10061670137553,3.53354655828831,3.97893553803364,5,3,2,3.19022037919675,4.5,3.11175826683455,4,2.59646625630558
2.60090180548359,3,2,2,2.5,3.44652281193192,2.40025372232561,1.80778413382917,2,4,4,1.88993431796135,5,2.84243561513722
2.82455778193067,5,2.5,3,1.55864962641147,5,1,4,1.72371908224593,3.34780624537995,5,2,6,2.70775784179568
2.97669326526126,3,2.5,2,3,5,5,2,1,3.41393277236481,3,2.01084717269252,7,1.00383516587317
3.40195077404345,3.50020477558815,2,3.17289313438376,3,4.47873768775725,4.59631914056644,4,4,3.5,5,2.05113588654507,8,2.49808659404516
2.11494743027213,2.2044523580149,2,5,2.5,4.2118898798113,2.58534021111971,3.20225961748838,3,3,4,2,9,2.60283130779862
4,4,2,2,3,5,5,3.89365960813901,2.56466551876339,4.59637101609121,4,2.22093520083319,10,1.44197139237076
1.72231771801061,4,2.5,3,3,5,5,2.28568406773004,4,5.22161693325723,3,3.71951230223466,11,1.19359694607556
1.67007751582676,5,2.5,3,3,5,5,2,1.45639791090426,4.26979718507579,4,3,12,1.77871067728847
2.62773202718809,4,1,1.50063289667228,2,4,2.30171080705223,3,2,4.02501369305414,3.5,3.03692265525065,13,1.07445947639644
2,3.4540424960613,2,3.58532671190821,2,4.23571301056984,5,3.34646908902547,3,4,4,4,14,3.07016623485833
3,5,3,3,4,5,4,3.49756192316297,5.49960232030119,3.45063181827983,3,4,15,3.74589656107128
2,2.23031715324686,3,3,4.69984820962546,2.92315435439961,4,3,1.94865755975184,5,4,2.5,16,2.29806951154023
2,3.04408778096091,4,3.51967335332296,2.80726935665944,3,4.22971961881146,2,3.15277359322931,5,4,4.5,17,2.62970842607319
5.08330299436109,4,2,4,2.45177162359453,5,4,4,3.23057773001712,4.59269760843398,3,4,18,4.23667179886252
5,5,1,3,3.02297789316197,5,4.95018270926,3,3.66965586460644,5,4,5,19,1.12310008890927
2,4,2.5,3.34513615052153,4,4.67964787758786,5,2.55028115226531,2.1040737024734,4,4,4,20,3.05378390382975
5,3.56462590465456,2,2,5,4.71658292966202,5,2.99223126137385,2.53273323762584,5,3.5,3.5,21,1.46072440315038
2.41728115146797,2.15516778233416,2,2.68998661782884,3,4.80492738109711,4,4,1.77309340568781,4,3,3,22,3.48532586265355
4.33780897210787,4,2,2,4,5.37398427227876,4,3,3.57897015570096,5,2.5,3,23,4.31065495684743
5.02683880711587,4,1,1.37778800853692,5,4.5,5.59931901151511,4,4.0858551643813,2.28759968033594,2.5,2.41176923705809,24,4.63023657351732
2,4,3,5,4,4.5,3.07547530103734,2.29155656502624,2,3.57033943893168,4,2.3589734908741,25,4.80542611889541
3,2.44985832755412,3.5,3.39826922927456,3.61200696667613,3.70077497072055,3,2,3.26123230726003,3,4,2.5,26,2.18915307428688
3.15722426292788,5,2,4,3,5,3.61473139605382,2,5.24761409614787,3.52882199452528,3.5,5,27,1.55501480214298
2,4.5,1.5,1.69662958548732,2.28431940557014,5,5,4,5.29894978352524,3.34445521738237,4,3.11016591284957,28,3.43477642443031
2.94882991379214,4,1,2,4,4.83484842283749,5,4,6.04126421950971,5,2.5,5,29,1.66215472761542
2,4,1,1.5,2.60635491636931,5,4.97371027928327,3,3.34063135898594,5,2,2,30,2.301608171314
4,5,1,3,4.62750902830911,5,3.62704387753341,4,3.35228505608017,4,1,5.22594413715556,31,2.6422093398869
3.11706835069676,2.47018911258178,1,2,4.34708960755825,5,5,4,3.42518536575437,5.67439183011804,1,2,32,4.2102617053315
5,4,1,1,4.44896808609704,5,5,2.93655711577214,4.52674346966065,3.89196023272226,2,5,33,4.72884056065232
5,2.22610348492237,1.5,3.2607351021132,4.41662942349582,3.94750218724739,3,4,4.96037924689607,3.37822181604245,2,5,34,2.71720619220287
4,4.13216461226392,1,2,4.77962789711871,5,5,4,3,4.43535889287562,1,3,35,4.45437660254538
5.23104726988311,1.50231809492504,1,2,2,5,4,2,1,4.51996451798965,3.5,4,36,3.43513844627887
