"O_AesSens","E_Assert","O_IntCur","C_Org","A_Rspct","C_Rspnbl","A_Cmpn","O_CrtvImag","E_EnerLev","C_Prdctv","A_Trust","E_Scblty","count","satisfaction"
2.7498251369187,2.35559317742427,4,2.87275657593497,4,2,4,2,2.4664903080501,2,3.88514178307014,4,1,3.52685382589698
5,4,4.76717858359146,4,4.72410718315305,3.35807687090569,3,3.94617390034708,3.92871156064698,2,4.27272450228506,4.29890769481166,2,2.99117564130574
4.49821258848709,2.5,4.44324425785071,5,4.27510945609727,4,5,3.81342486954483,2.90101671282221,5.14664050275038,4,5.07108435799575,3,3.53838289063424
4.49675727788159,3,3.52696986271995,4,4,2.1333672592661,4,2.48683094488383,3.51057450998614,1,3.61870406143534,3,4,2.95906305965036
3.15561202144006,3,3.5,2.30160791158488,2.93185221122144,1.5,2,3.13431885501236,3.21054574904927,1.71938431562066,3,2,5,1.72665905766189
4.00391582620029,4,3.37469015222567,5,4,2,2.83857137139547,2.82165743114412,3,3.80541882425348,3.33312846619417,4.25834980446955,6,1.98362635821104
3,4,4.57662005619168,3.85009880277081,4,4,5.27312990378407,2,4.14644318828354,3,4,4,7,2.95687225274742
3.99537735628748,4,4,4.4271786732369,4.35051945505098,4,4.5,3.63875754250674,3,3,2.91373749732966,4.50150657311306,8,1.25059571862221
3.40700231444005,2.84720299676242,2,2,3.26035051110067,2.08470897923483,4,2,2.5,1,4,2.42538611724775,9,2.12512334436178
1.12748153104403,3.55583959059819,5,4,4.31271695704335,4.37901005903408,3,4,1.97475410422275,3.63506332667152,2,4,10,4.79365625232458
2.68312356637136,2,4,1.7990422187955,3.50131526159874,3,4,2,0.906470963667481,3.12063371140298,2,0.147140782691944,11,4.60021921433508
4.00106278388544,4,4,4.03068751257255,3.54171020764744,4.10824681831927,4,4.91288341285825,4,2.5,3.86337400642522,3.33898326479308,12,1.07171748764813
4.0082818742054,3,2.44276196978775,4,4.5,2,3.65481180770324,4,3,1.4290755878899,4.43451375678732,2.5307633620601,13,1.28505002148449
3.96671330132008,4,4,3.18549506966364,4,3.5,5.52163145590698,2,5.00087192433511,3.59972032554766,4,4,14,4.33339474909008
2,2,3.2863931737584,3,3.45229892032631,2.98730328921086,2.36337039664658,4,2.85466988900117,4.15151234024343,1.5,2,15,3.73884065449238
4,2.59768025390305,3.88971338855215,2,4,2,3.22476280097159,2,2,1.54418684094164,2,4,16,2.85897735320032
5,3.32072544466876,4.19660541097308,3,5.2378845456381,5.26867318410241,3.66057458961803,5,4,5.64426587981649,4,4,17,1.70207014586776
3.59260571005465,4,5,4,4.89871882876254,2,5,4,2,2.80914709566355,4,6.09654499205137,18,4.62617080938071
4,2,2.96464064711602,2.81056158422108,5,4,3.35953940169318,3,3.37068731451181,4,2.97990171114196,2,19,2.17979345098138
2,2,4,2.61237158650531,3.9817899399315,4,3,3.02409693441196,4.024598348127,4,4,4,20,4.8893575258553
5,3,4,1,4,4.37251430473937,5,2.12251347186072,2.29979456777958,4,3.60172934078078,4,21,2.61097697727382
1.90677168643974,2,3,2.6719649127525,4,3,4.2308602670254,1.99526417476076,1.83131216668117,1.7561460316049,4.65813700591578,2,22,1.40632894635201
2.39349676194755,3,3,2,5.09194098686414,4,4.33392550853105,4,4,1.92557620407446,3.5,3.43767996492068,23,2.93055132031441
3.81298591315068,3,2.22924703887929,2,4.84943205885944,2.88203452655741,4,2.49754111224063,2.81321773031181,3,4,2.79568757784062,24,2.70180068537593
3.36342126160895,2.5,3,2,3.5,0.751931383091616,1.95526432218074,3,1.31652165572964,2,2.92445223537372,2.19341159606932,25,3.92039490211755
